Accident_Index,Accident_Severity
2016010001364,2
2016010001365,3
2016010001367,3
2016010001372,3
2016010001373,2
2016010001375,3
2016010001376,2
2016010001377,3
2016010001378,3
2016010001379,3
2016010001380,3
2016010001381,3
2016010001383,3
2016010001385,3
2016010001388,2
2016010001390,3
2016010001391,2
2016010001393,3
2016010001397,3
2016010001400,3
2016010001401,3
2016010001403,3
2016010001404,3
2016010001405,3
2016010001407,3
2016010001408,3
2016010001410,3
2016010001411,3
2016010001412,3
2016010001413,3
2016010001414,3
2016010001416,2
2016010001417,3
2016010001418,2
2016010001420,3
2016010001421,2
2016010001423,3
2016010001425,3
2016010001426,3
2016010001427,3
2016010001428,3
2016010001429,3
2016010001430,3
2016010001432,3
2016010001433,3
2016010001434,2
2016010001435,3
2016010001436,3
2016010001438,3
2016010001440,3
2016010001441,3
2016010001443,3
2016010001446,2
2016010001447,2
2016010001448,3
2016010001449,3
2016010001450,3
2016010001451,3
2016010001452,2
2016010001453,3
2016010001454,2
2016010001455,3
2016010001456,3
2016010001458,3
2016010001459,3
2016010001460,2
2016010001461,3
2016010001462,3
2016010001463,3
2016010001465,3
2016010001467,3
2016010001468,3
2016010001469,2
2016010001470,3
2016010001471,3
2016010001472,3
2016010001473,3
2016010001475,3
2016010001476,2
2016010001478,3
2016010001479,2
2016010001485,3
2016010001489,3
2016010001491,3
2016010001493,3
2016010001494,3
2016010001496,3
2016010001497,3
2016010001502,3
2016010001505,3
2016010001506,3
2016010001508,3
2016010001510,3
2016010001512,3
2016010001513,3
2016010001514,3
2016010001521,3
2016010001522,3
2016010001526,2
2016010001527,1
2016010001528,3
2016010001530,3
2016010001531,3
2016010001534,3
2016010001535,3
2016010001536,3
2016010001537,3
2016010001540,2
2016010001542,3
2016010001543,3
2016010001546,3
2016010001548,3
2016010001549,3
2016010001558,3
2016010001559,3
2016010001560,3
2016010001561,3
2016010001562,3
2016010001563,3
2016010001564,3
2016010001565,3
2016010001566,3
2016010001567,3
2016010001568,3
2016010001569,3
2016010001571,3
2016010001572,2
2016010001574,3
2016010001576,3
2016010001577,3
2016010001578,3
2016010001579,3
2016010001580,3
2016010001581,3
2016010001582,2
2016010001583,3
2016010001584,2
2016010001588,3
2016010001589,3
2016010001590,3
2016010001591,3
2016010001592,3
2016010001593,3
2016010001594,3
2016010001596,2
2016010001597,3
2016010001598,3
2016010001600,3
2016010001602,3
2016010001603,3
2016010001604,2
2016010001606,3
2016010001610,3
2016010001616,3
2016010001617,3
2016010001618,2
2016010001628,2
2016010001634,3
2016010001636,3
2016010001638,3
2016010001641,3
2016010001643,3
2016010001647,3
2016010001651,3
2016010001653,3
2016010001654,3
2016010001655,3
2016010001662,3
2016010001664,3
2016010001667,2
2016010001669,3
2016010001670,2
2016010001676,3
2016010001677,2
2016010001678,3
2016010001682,2
2016010001684,3
2016010001686,3
2016010001687,3
2016010001689,3
2016010001690,3
2016010001691,3
2016010001692,3
2016010001702,3
2016010001703,3
2016010001704,2
2016010001706,3
2016010001707,3
2016010001710,3
2016010001711,3
2016010001713,3
2016010001714,2
2016010001716,3
2016010001717,3
2016010001721,2
2016010001726,3
2016010001728,3
2016010001731,3
2016010001733,3
2016010001734,3
2016010001737,3
2016010001739,2
2016010001744,3
2016010001745,3
2016010001748,2
2016010001749,3
2016010001751,3
2016010001753,3
2016010001758,3
2016010001759,3
2016010001760,3
2016010001762,3
2016010001763,3
2016010001764,3
2016010001766,3
2016010001767,3
2016010001768,2
2016010001769,3
2016010001770,3
2016010001771,3
2016010001773,3
2016010001774,3
2016010001775,3
2016010001776,3
2016010001777,3
2016010001778,3
2016010001780,3
2016010001783,3
2016010001784,3
2016010001785,3
2016010001786,3
2016010001787,3
2016010001788,3
2016010001789,3
2016010001791,3
2016010001793,3
2016010001794,2
2016010001795,3
2016010001797,3
2016010001800,3
2016010001806,3
2016010001812,3
2016010001815,3
2016010001820,3
2016010001825,3
2016010001833,3
2016010001834,3
2016010001836,3
2016010001839,3
2016010001840,3
2016010001841,2
2016010001842,3
2016010001845,3
2016010001848,3
2016010001851,3
2016010001853,3
2016010001856,3
2016010001857,3
2016010001858,3
2016010001859,3
2016010001860,3
2016010001862,3
2016010001864,3
2016010001865,3
2016010001867,3
2016010001869,3
2016010001871,3
2016010001873,3
2016010001874,3
2016010001875,3
2016010001877,3
2016010001882,2
2016010001888,3
2016010001889,3
2016010001894,3
2016010001898,3
2016010001899,3
2016010001900,3
2016010001902,3
2016010001904,3
2016010001914,3
2016010001915,3
2016010001916,3
2016010001917,2
2016010001919,2
2016010001920,2
2016010001921,3
2016010001922,3
2016010001925,3
2016010001926,3
2016010001928,3
2016010001930,3
2016010001931,3
2016010001932,3
2016010001933,3
2016010001934,3
2016010001935,3
2016010001937,3
2016010001938,3
2016010001939,2
