Accident_Index,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area
2016010000615,4,1,1,0,2,1
2016010000617,1,1,1,0,0,1
2016010000620,4,1,1,0,0,1
2016010000623,1,1,1,0,0,1
2016010000624,1,1,1,0,0,1
2016010000626,1,9,-1,0,0,1
2016010000627,1,1,1,0,0,1
2016010000628,1,8,1,0,0,1
2016010000629,4,2,2,-1,-1,1
2016010000630,1,1,1,0,0,1
2016010000631,1,1,1,0,0,1
2016010000632,1,1,2,0,0,1
2016010000634,1,9,-1,-1,-1,1
2016010000636,1,1,1,0,0,1
2016010000637,1,1,1,0,0,1
2016010000638,1,1,1,0,0,1
2016010000640,1,1,1,0,0,1
2016010000642,4,9,-1,-1,-1,1
2016010000643,1,1,1,0,0,1
2016010000644,1,1,1,0,0,1
2016010000645,1,1,1,0,2,1
2016010000646,1,1,1,0,0,1
2016010000648,4,2,2,0,0,1
2016010000649,1,1,1,0,0,1
2016010000650,4,2,2,0,0,1
2016010000651,1,1,1,0,0,1
2016010000652,4,1,1,0,0,1
2016010000654,1,1,1,0,0,1
2016010000655,1,1,1,0,0,1
2016010000656,4,1,1,0,0,1
2016010000658,4,1,1,0,0,1
2016010000659,1,1,1,0,0,1
2016010000660,4,9,1,-1,-1,1
2016010000662,4,1,1,0,0,1
2016010000663,1,1,1,0,0,1
2016010000664,6,9,2,-1,0,1
2016010000665,1,1,1,0,0,1
2016010000667,1,9,-1,0,-1,1
2016010000668,4,2,2,0,0,1
2016010000669,1,1,1,0,0,1
2016010000670,4,1,1,0,0,1
2016010000671,4,1,1,0,0,1
2016010000672,4,1,1,0,0,1
2016010000673,1,1,1,0,0,1
2016010000674,1,1,1,0,0,1
2016010000675,4,1,1,0,0,1
2016010000677,1,1,1,0,0,1
2016010000678,4,1,1,0,0,1
2016010000679,4,1,1,0,0,1
2016010000680,4,1,1,0,0,2
2016010000681,1,2,2,0,0,1
2016010000682,5,1,1,0,0,1
2016010000683,4,1,2,0,0,1
2016010000684,7,1,1,0,0,1
2016010000685,1,1,1,0,0,1
2016010000686,4,1,1,0,0,1
2016010000688,4,1,1,0,0,1
2016010000690,4,1,1,0,0,1
2016010000691,1,1,1,0,0,1
2016010000692,4,1,1,0,0,1
2016010000694,1,1,1,0,0,1
